Question,Answer
Mengapa NPWP Saya Non Efektif?,"Wajib Pajak tidak dapat melaporkan SPT Tahunan apabila NPWPnya Non Efektif. Penyebab NPWP
Non Efektif sebagai berikut:
a. Wajib Pajak orang pribadi yang menjalankan usaha atau pekerjaan bebas tetapi secara
nyata tidak lagi menjalankan kegiatan usaha atau tidak lagi melakukan pekerjaan bebas
b. Wajib Pajak orang pribadi yang tidak menjalankan usaha atau pekerjaan bebas dan
penghasilannya di bawah Penghasilan Tidak Kena Pajak
c. Wajib Pajak orang pribadi yang bertempat tinggal atau berada di luar negeri lebih dari 183
(seratus delapan puluh tiga) hari dalam jangka waktu 12 (dua belas) bulan dan tidak
bermaksud meninggalkan Indonesia untuk selama-lamanya
d. Wajib Pajak yang mengajukan permohonan penghapusan dan belum diterbitkan keputusan
atau Wajib Pajak yang tidak lagi memenuhi persyaratan subjektif dan/atau objektif tetapi
belum dilakukan penghapusan Nomor Pokok Wajib Pajak (NPWP) dengan kriteria antara
lain:
1. Wajib Pajak Orang Pribadi wanita kawin yang telah memiliki NPWP yang berbeda
dengan suami dan tidak berniat melakukan pemenuhan kewajiban perpajakan secara
terpisah
2. Orang Pribadi yang memiliki NPWP sebagai anggota keluarga atau tanggungan yaitu
NPWP dengan kode cabang ""001"", ""999"", ""998"" dan seterusnya
3. Wajib Pajak bendahara pemerintah yang tidak lagi memenuhi syarat sebagai Wajib
Pajak karena yang bersangkutan sudah tidak lagi melakukan pembayaran dan belum
dilakukan penghapusan NPWP atau
4. Wajib Pajak yang tidak diketahui atau ditemukan lagi alamatnya."
Bagaimana cara mengaktifkan kembali NPWP Non Efektif?,"Pengaktifan Kembali Wajib Pajak Non Efektif dapat dilakukan berdasarkan permohonan Wajib
Pajak dan secara jabatan, dan hanya dapat dilakukan oleh KPP.Pengaktifan kembali Wajib Pajak
Non Efektif dilakukan dalam hal terdapat data dan/atau informasi yang menunjukkan bahwa Wajib
Pajak yang telah ditetapkan sebagai Wajib Pajak Non Efektif tidak lagi memenuhi kriteria sebagai
Wajib Pajak Non Efektif. KPP melakukan penelitian administrasi perpajakan dalam rangka
pengaktifan kembali Wajib Pajak Non Efektif untuk mengetahui kebenaran data dan/atau informasi
antara lain:
a. Wajib Pajak menyampaikan SPT Masa atau SPT Tahunan
b. Wajib Pajak melakukan pembayaran pajak
c. Wajib Pajak melakukan kegiatan usaha atau pekerjaan bebas
d. Wajib Pajak mengajukan permohonan untuk diaktifkan kembali atau
e. Wajib Pajak diketahui/ditemukan alamatnya."
Bagaimana apabila Saya lupa password untuk login DJP Online?,"Apabila lupa Password DJP Online dilakukan dengan cara mudah yaitu tinggal direset, yang
penting email masih ingat dan bisa dibuka. Silakan masuk ke laman DJP Online dan Klik menu
“lupa password?reset di sini?
Anda akan diminta untuk pengisian beberapa data yaitu NPWP, nomor EFIN, dan kode keamanan.
Setelah itu, klik “submit”, kemudian terdapat message pop up “Request Succeed, link reset
password telah dikirim ke email Anda”. Silakan klik “OK”. Cek email Anda, dan klik “Link Reset
Password” yang telah dikirimkan. Selanjutnya ganti password sebelumnya dengan password baru
yang aman dan mudah diingat."
Bagaimana apabila Saya lupa password dan Email?,"Apabila Anda lupa password dan email maka yang harus dilakukan adalah silakan masuk ke laman
DJP Online, Klik menu “lupa password?reset di sini”. Selanjutnya, silakan masukkan NPWP dan
nomor EFIN pada kolom yang tersedia.Langkah ini yang membedakan dengan yang hanya lupa
password saja. Anda wajib memberikan cek list pada kotak lupa email, setelah itu masukkan email
baru yang akan digunakan untuk Aplikasi DJP Online. Pastikan semua kolom yang tersedia diisi
dengan benar, selanjutnya silakan Anda masukkan kode keamanan dan klik “submit”. Langkah
selanjutnya sama dengan pertanyaan lupa password (FAQ no. 15)."
"Bagaimana apabila Saya telah melakukan registrasi pada DJP Online sekaligus aktivasi
e-Filing, namun ketika melakukan prosedur lupa password dan lupa email terdapat notifikasi
“NPWP belum terdaftar”?","Apabila ada notifikasi “NPWP belum terdaftar” pada aplikasi DJP Online, solusinya cukup
mudah.Silakan lakukan langkah “reset password”, setelah itu lakukan langkah “lupa email” dan
yang terakhir adalah reset password DJP Online lagi. Namun apabila langkah tersebut gagal, maka
silakan anda mendatangi Kantor Pelayanan Pajak terdekat untuk mendapatkan asistensi reset
password e-Filing/DJP Online sekaligus reset email dan aktifasi aplikasi e-Fiing/DJP online."
Bagaimana cara menghapus SPT Tahunan yang salah?,"SPT Tahunan melalui e-Filing yang telah terkirim tidak bisa dihapus. Anda dapat melakukan
pembetulan SPT Tahunan dengan cara membuat SPT Tahunan baru di aplikasi DJP Online, untuk
status SPT Tahunan silakan isi ""Pembetulan ke-1""."
Mengapa saya tidak bisa membuat SPT Tahunan dengan status normal?,"Masalah ini kemungkinan dapat disebabkan karena:
1. Anda sudah pernah menyampaikan SPT Tahunan dengan status normal. Sehingga apabila
anda ingin menyampaikan SPT Tahunan lagi untuk Tahun Pajak yang sama, maka sistem
hanya memperbolehkan Anda untuk membuat SPT Tahunan dengan status Pembetulan.
2. Apabila Anda belum pernah menyampaikan SPT Tahunan dengan status normal, maka
silakan log in ke DJP Online, masuk ke aplikasi e-FIling. Pada halaman utama di kolom atas,
silakan klik ""Submit SPT"", silakan hapus atau edit SPT tersebut."
"Mengapa ada pesan kesalahan (kode error) ""400"" ""404"" ""500""?","Untuk kode seperti itu, ada kesalahan di halaman website atau server DJP Online. Untuk jelasnya
Anda bisa cari di halaman mesin pencari dengan kata kunci ""error 400"", “404, dan “500”."
Browser apa yang bisa digunakan untuk lapor pajak melalui e-Filing?,Pada prinsipnya semua browser bisa digunakan untuk mengakses DJP Online.
Dimana saya dapat mengakses DJP Online?,"Anda dapat mengakses DJP Online untuk pelaporan SPT melalui e-Filing dengan alamat
https://djponline.pajak.go.id atau tautan DJP Online yang ada di laman situs pajak
(www.pajak.go.id)."
"Bagaimana caranya mengubah data profil di DJP Online? mengingatdata profil
Sayaantara DJP online dengan yang ada sekarang berbeda?","Apabila Anda berniat untuk mengubah data diri, silakan datang ke Kantor Pelayanan Pajak untuk
melakukan perubahan data dengan cara mengisi formulir perubahan data.Namun walaupun data
diri tidak sesuai Anda tetap dapatmelaporkan SPT Tahunan melalui e-Filing."
"Saya telah memiliki NPWP sejak tahun 2014 dan tidak pernah lapor SPT, apakahsaya
dapatmelaporkan SPT Tahunan mulai dari 2014?","Anda dapat melakukan pelaporan pajak sejak Anda memiliki NPWP.Silakan Anda melaporkan SPT
Tahunan dengan menggunakan e-Filing."
Apakah ada sanksi apabilaSaya tidak lapor pajak?,"Apabila Anda tidak melaporkan atau terlambat lapor pajak terdapat sanksi yang akan dikenakan
berdasarkan Undang-undang Ketentuan Umum dan Tata Cara Perpajakan. Sanksi apabila tidak
melaporkan pajak yaitu sanki administrasi dan sanksi pidana.
Untuk sanksi administrasi, berupa:
a. Denda Rp. 100.000, untuk SPT Tahunan Wajib Pajak Orang Pribadi
b. Denda Rp. 1.000.000,- untuk SPT Tahunan Wajib Pajak Badan
Sanksi pidana, berupa denda 100% sampai 400% dari pajak terhutang dan sanksi
pencegahan sampai kurungan (penjara)."
"Apabila Saya tidak bekerja, namun saya memiliki NPWP, apakah tetap lapor SPT
Tahunan?","Pada prinsipnya setiap pemilik kartu NPWP Wajib melaporkan SPT Tahunan, namun apabila tidak
memiliki penghasilan atau memiliki penghasilan di bawah Penghasilan Tidak Kena Pajak (PTKP),
dipersilakan untuk mengajukan permohonan sebagai Wajib Pajak Non Efektif."
Apakah untuk lapor pajak ada biaya?,"Untuk melaporkan pajak atau SPT Tahunan, Anda sama sekali tidak dipungut biaya (gratis),
termasuk kegiatan konsultasi pelaporan SPT yang diberikan oleh Petugas Kantor Pelayanan Pajak."
Apakah ada katalog error terkait pelaporan SPT melalui DJP Online?,"Beberapa error kemungkinan akan anda jumpai pada saat melaporkan SPT Tahunan melalui eFiling (DJP Online). Berikut ini disampaikan kode error dan solusinya, sebagai berikut:
a. Kode Error SO001 “NPWP Tidak Ditemukan”
Solusi:Jika Anda sudah yakin nomor NPWP yang Anda masukkan sudah benar namun
terdapat pesan error seperti tersebut, silakan datang ke KPP untuk dicekNPWP tersebut.
b. Kode Error SO002 “Data Pengguna Tidak Ditemukan”
Solusi: Apabila sudah melakukan registrasi di DJP Online namun terdapat pesan error
seperti tersebut, cek email untuk aktivasi. Kode error ini muncul karena akun DJP Online
Anda belum aktif.
c. Kode Error SO003 “Password Tidak Sesuai”
Solusi:Klik ""Lupa password ?reset di sini""
d. Kode Error SO004 “Pengguna Belum Aktif”
Solusi:Sudah registrasi DJP Online? Jika sudah, cek email untuk aktivasi.Kode error ini
muncul karena akun DJP Online Anda belum aktif. Jika dalam waktu 10 menit belum juga
ada link aktivasi via email, silakan kembali ke halaman awal DJP Online kemudian klik
""Belum menerima link aktivasi ?klik di sini""
e. Kode Error SO005 “Email Sudah Digunakan”
Solusi: Hal ini biasanya terjadi untuk pelaporan pajak online kolektif, silakan gunakan email
yang belum pernah dipakai untuk registrasi DJP Online.
f. Kode Error SO006 “Kegagalan Autentikasi”
Solusi:Hal ini terjadi karena link aktivasi yang terkirim di email tidak ""sinkron""/nyambung
dengan database DJP Online”. Silakan kembali ke halaman awal DJP Online kemudian klik
""Belum menerima link aktivasi ?klik di sini"" kemudian klik link aktivasi yang baru. Jika masih
belum bisa juga, silakan coba klik link aktivasi yang terakhir di lain waktu (keesokan hari).
g. Kode Error SO007 “Invalid Credential”
Solusi: Kemungkinan Anda salah ketik NPWP. NPWP terdiri dari 15 digit.Tidak kurang dan
tidak lebih.Jika Anda sudah yakin nomor NPWP yang Anda masukkan sudah benar, silakan
datang ke KPP untuk dicek NPWPnya.
h. Kode Error REG001 “NPWP Tidak Terdaftar”
Solusi: Jika Anda sudah yakin nomor NPWP yang Anda masukkan sudah benar, silakan
datang ke KPP untuk dicek NPWPnya
i. Kode Error REG002 “NPWP Non Efektif”
Solusi:NPWP Anda Non Efektif disebabkan oleh beberapa hal seperti pada FAQ No. 14,
silakan datang ke KPPterdekat untuk aktifasi NPWP.
j. Kode Error REG003 “NPWP DE”
Solusi:NPWP Anda sudah tidak dapat digunakan. Silakan datang ke KPP untuk mengecek
NPWP. KemungkinanNPWP Anda sudah terhapus dari master file Wajib Pajak
k. Kode Error REG005 “EFIN Tidak Ditemukan”
Solusi: silahan minta kembali nomor EFIN ke KPP terdekat.
l. Kode Error REG006 “EFIN belum diaktivasi”
Solusi:Silahan aktivasi nomor EFIN ke KPP terdekat. Hal ini terjadi karena kode EFIN yang
Anda miliki belum ""sinkron"" dengan database DJP Online.
m. Kode Error REG029 “Aktivasi Tidak Berhasil”
Solusi:Hal ini terjadi karena link aktivasi yang terkirim di email tidak ""sinkron"" dengan
database DJP Online. Silakan kembali ke halaman awal DJP Online kemudian klik ""Belum
menerima link aktivasi ?klik di sini"" kemudian klik link aktivasi yang baru. Jika masih belum
bisa juga, silakan coba klik link aktivasi yang terakhir di lain waktu (keesokan hari).
n. Kode Error REG029A “Aktivasi Tidak Berhasil”
Solusi:Hal ini terjadi karena link aktivasi yang terkirim di email tidak ""sinkron"" dengan
database DJP Online. Silakan kembali ke halaman awal DJP Online kemudian klik ""Belum
menerima link aktivasi ?klik di sini"" kemudian klik link aktivasi yang baru. Jika masih belum
bisa juga, silakan coba klik link aktivasi yang terakhir di lain waktu (keesokan hari)."
Dokumen apa saja yang harus disiapkan untuk lapor SPT Tahunan?,"Dokumen yang disiapkan untuk melaporkan SPT Tahunan Wajib Pajak Orang Pribadi karyawan
adalah formulir bukti potong 1721 A1/ 1721 A2.
Contoh formulir bukti potong 1721 A1
1. Untuk SPT Tahunan PPh dengan formulir 1170 SS, dokumen yang diperlukan adalah:
Bukti potong 1721 A1 (untuk Pegawai Swasta)
Bukti potong 1721 A2 (untuk Pegawai Negeri)
2. SPT Tahunan PPh dengan formulir 1770S, dokumen yang diperlukan adalah:
1721 A1 (untuk Pegawai Swasta)
1721 A2 (untuk Pegawai Negeri)
3. SPT Tahunan PPh jenis 1770, dokumen yang diperlukan adalah:
Penghasilan lain di luar pekerjaan
Bukti potong A1/A2
Neraca & laporan laba-rugi (pembukuan)
Rekapitulasi bulanan peredaran bruto dan biaya (norma)"
Bagaimana tata cara pelaporan SPT Tahunan melalui eFiling?,"Jika sudah memiliki akun DJP Online, maka tata cara pelaporan SPT melalui e-Filing sebagai
berikut:
a. Klik laman DJP Online di alamat https://djponline.pajak.go.id
Isi kolom sesuai petunjuk
b. Ketik Nomor NPWP dan Password serta kode captcha untuk “LOGIN”
c. Pilih e-Filing atau e-Form
Pilih e-filing atau e-form sesuai keinginan
d. Berikutnya masuk ke laman One-stop Tax Services, yang tertera profil Anda dan pilihan
Layanan DJP Online yang diinginkan, yakni e-Filing atau e-Form. Bila memilih e-Filing, maka
Anda harus terkoneksi internet selama pengisian data hingga terakhir kalinya untuk siap
disubmit di portal DJP. Sedangkan dengan e-Form maka pengisian formulir SPT secara
offline pada komputer Anda dan tidak harus terkoneksi dengan internet atau secara online.
e. Apabila menggunakan layanan e-Filing, maka harus klik bagian icon “e-Filing”
f. Memulai untuk membuat SPT baru dengan Klik Buat SPT
memulai membuat SPT
g. Kemudian akan muncul laman baru E-Filing SPT, dan klik “Buat SPT” di bagian pojok kanan
atas.
h. Jawab Pertanyaan di Formulir
pilih dengan benar pada isian formulir SPT
i. Ikuti langkah selanjutnya dan jawab pertanyaan dengan tepat atau sesuai dengan yang
sebenarnya, hingga semua pertanyaan selesai terjawab
j. Pilih formulir yang akan digunakan
Jenis SPT yang muncul sesuai dengan besaran penghasilan Anda
k. Jika penghasilan gaji di atas Rp60 juta per tahun, dan Anda memilih pengisian SPT dengan
bentuk formulir, maka akan muncul informasi SPT 1770S yang siap diklik.
l. Isi data formulir SPT
Isi data formulir sesuai petunjuk
m. Setelah itu Anda akan masuk dalam laman yang memandu Anda untuk mengisi formulir
sesuai petunjuk. Pilih tahun SPT Pajak (2017), lalu pilih status SPT di Normal, dan klik
Langkah Berikutnya.
n. Isi lampiran II SPT sampai dengan selesai."
Apa itu e-Form?,"e-Form merupakan formulir elektronik berekstensi .xfdl yang dapat dibuka di computer dengan
sistem operasi Windows dengan menggunakan aplikasi viewer. Aplikasi viewer dan cara
penginstallannya dapat didownload di djponline.pajak.go.id (setelah login)."
Mengapa Direktorat Jenderal Pajak menambah channel pelaporan SPT melalui e-Form?,"Direktorat Jenderal Pajak menambah channel pelaporan SPT melalui e-Form dimaksudkan untuk
memberikan pelayanan yang lebih baik dan memudahkan Wajib Pajak dalam melaksanakan
kewajiban perpajakannya. Dengan layanan e-Form ini diharapkan Wajib Pajak dapat
menyampaikan pelaporan SPT Tahunan dengan mudah, efisien, paperless, kapanpun dan
dimanapun.
Berikut adalah hal-hal yang perlu diketahui melalui e-Form
a. Pengisian formulir dilakukan tanpa menggunakan jaringan internet
b. Jaringan internet kembali diperlukan pada saat upload formulir ke server DJP
c. Perlu diperhatikan : Dalam komputer yang digunakan untuk mengisi e-Form sebelumnya
perlu diinstal aplikasi Viewer. Aplikasi tersebut dapat diunduh di laman djponline.pajak.go.id
d. Proses upload e-Form dilakukan tanpa perlu login kembali ke laman djponline, WP cukup
memasukkan kode verifikasi yagn sudah dikirimkan ke email dan diisikan ke kolom kode
verifikasi yang ada di dalam e-Form lalu klik “Submit”.
e. Bila proses upload berhasil, BPE akan otomatis terkirim ke email WP"
Apa perbedaan e-Form dengan e-Filling dan e-SPT?,"Pada e-Filling selama pengisian SPT wajib Pajak harus selalu terkoneksi dengan internet, dan
untuk Wajib Pajak yang membutuhkan waktu lama untuk mengisi SPT terutama Daftar Harta dan
Kewajiban serta sering terjadi session habis pada saat pengisian SPT, akibatnya Wajib Pajak harus
login ulang dan mengisi kembali SPT nya dari awal lagi. Sementara untuk penggunaan e-SPT,
pengguna harus menginstall aplikasi e-SPT sesuai jenis SPT yang dilaporkan dan dapat
mengalami kendala apabila terdapat pembaharuan (update) versi e-SPT.
Atas dasar kendala-kendala yang kerap dialami Wajib Pajak di atas, e-Form hadir sebagai
alternative Wajib Pajak untuk menyampaikan SPT dengan lebih mudah dan efisien. Hal ini
dimungkinkan karena 1 aplikasi viewer dapat digunakan untuk mengisi berbagai formulir elektronik
dari berbagai jenis pajak, formulir yang diisi memiliki tampilan yang sama dengan formulir versi
hard copy, dan waktu pengisian formulir tidak perlu terkoneksi internet secara terus menerus,
koneksi internet diperlukan hanya pada saat akan mengambil formulir dan pada saat
mengunggahnya saja."
Bagaimana cara menggunakan layanan dan alur e-Form?,"Untuk menggunakan layanan e-Form Wajib Pajak harus mempunyai EFIN terlebih dahulu, karena
untuk mendapatkan hak akses e-Form harus login ke djponline.pajak.go.id. Setelah login DJP
online, Wajib Pajak dapat mengaktifkan akses ke fitur e-Form dengan cara masuk ke profile
lengkap Wajib Pajak. Untuk lebih jelasnya alur e-Form dapat digambarkan sebagai berikut:
Simulasi penyampaian SPT menggunakan e-Form"
Bagaimana cara mengaktifkan akses Layanan e-Form?,"Setelah login di laman djponline.pajak.go.id, menu e-form belum bisa langsung diakses.untuk dapat
mengaksesnya perlu diaktifkan terlebih dahulu di menu profil lengkap.
setelah masuk ke menu profile lengkap, maka langkah selanjutnya mencentang e-Form dan klik
ubah akses.
setelah klik ubah akses maka akan muncul notifikasi sebagai berikut:
setelah login akan muncul tambahan layanan DJP online (e-form) yang bisa kita akses. akses eForm dengan cara klik di menu e-Form"
Bagaimana masuk ke dalam Dashboard e-Form?,"Setelah mengaktifkan layanan akses e-form, untuk selanjutnya yang harus dilakukan adalah:
a. Klik Logo
b. Setelah klik logo e-Form halaman akan mengarahkan untuk login sekali lagi. Kembali
masukkan NPWP. Password dan kode keamanan lalu klik login.
c. apabila belum install aplikasi viewer, download aplikasi viewer dengan klik menu download
viewer, kemudian install aplikasi tersebut
d. apabila sudah pernah install aplikasi viewer, mulai buat SPT dengan cara klik tombol buat
SPT"
Bagaimana cara mendownload e-Form Viewer?,"jika aplikasi e-Form viewer belum terinstall di PC, setelah klik download viewer langkah selanjutnya
adalah:
a. klik gambar icon Sistem Operasi yang sesuai dengan OS pada PC Anda;
b. Tata cara instalasi aplikasie-Form viewer dapat didownload di menu dokumen instalasi
viewer;
c. setelah selesai instal aplikasi e-Form viewer, mulai dengan langkah download e-Form
dengan klik menu buat SPT."
Bagaimana cara membuat SPT pada e-Form?,"Pada tahap pembuatan SPT ini mirip dengan e-Filling. Anda akan diharuskan menjawab
pertanyaan yang akan mengarahkan pada jenis SPT yang sesuai dengan kondisi /status Anda."
"Bagaimana cara mengisi detail data formulir yang digunakan untuk template SPT yang
akan dibuat dan dilaporkan pada e-Form?","Cara mengisi detail SPT Tahunan pada e-form dilakukan dengan cara sebagai berikut:
a. Pilih Tahun Pajak;
b. pilih status SPt normal/pembetulan;
c. jika status SPT pembetulan, ketik SPT yang akan dibuat merupakan SPT pembetulan ke
berapa;
d. Centang, Hanya kirim token hanya jika anda sudah pernah download e-Form tetapi lupa
kode token atau kode token belum diterima di email anda. kode token ini digunakan untuk
verifikasi pada saat upload SPT/e-Form;
e. klik kirim permintaan.
setelah klik kirim permintaan maka e-Form akan ter download dan save e-Form tersebut di
komputer anda."
Bagaimana cara mengisi detail SPT pada e-Form?,"setelah selesai diunduh, buka e-Form dengan cara klik dua kali. Pertama kali dibuka, Anda akan
masuk ke form 1770S-II. Tampilan e-Form seperti dibawah ini:
a. Menu Standar (Open, Save dan Save as);
b. Jika ingin mengisi pada tabel bagian A, cukup klik item yang sesuai dan isi nominal sejumlah
data Anda;
c. Pada Daftar Harta, Utang dan Susunan Anggota Keluarga pada samping kanan terdapat
tombol +/- yang berfungsi untuk menambah baris atau menghapus inputan;
d. Setelah selesai mengisi lampiran 1770S-II klik tombol selanjutnya untuk melanjutkan ke
lampiran SPT berikutnya yaitu lampiran 1770S-II."
Bagaimana cara mengisi formulir 1770S-I pada e-Form?,"Sama seperti pada pengisian lampiran 1770S-II, yaitu:
a. Bebas mengisi tabel yang ada di bagian A dan B dengan klik item kemudian isi nominal yang
sesuai dengan data anda;
b. menambah/menghapus bukti pemotongan/pemungutan PPh oleh pihak lain dengan klik
tombol+/- yang ada di samping kanan tabel bagian C;
c. apabila anda ingin kembali ke lampiran 1770s-II klik tombol kembali;
d. apabila semua data telah terisi klik tombol selanjutnya untuk melanjutkan pengisian induk
SPT;"
