Question,Answer
"Atas pengembalian yang diperoleh, apakah Wajib Pajak berhak meminta imbalan bunga?","Wajib Pajak tidak mendapatkan imbalan bunga. Sesuai Pasal 27A ayat (2) Undang-Undang KUP, imbalan bunga didapat sebagai akibat keberatan, banding dan Peninjauan Kembali. Selain itu, sesuai pasal 11 ayat (2) Undang-Undang KUP, imbalan bunga diberikan karena terlambat menerbitkan SKPKPP."
"Jika Wajib Pajak dibolehkan mengajukan permohonan dan sanksi dihapuskan, melalui mekanisme seperti apa atas pajak yang sudah dipotong dikembalikan?",Wajib Pajak mendapatkan pengembalian sesuai dengan ketentuan Pasal 11 ayat (1a) Undang-undang KUP dan Peraturan Menteri Keuangan Nomor 16/PMK.03/2011 tentang Tata Cara Penghitungan dan Pengembalian Kelebihan Pembayaran Pajak.
Di tahun 2015 Wajib Pajak diterbitkan SKPLB dan sudah memperoleh pengembalian. Namun KPP memotongkannya dengan semua utang pajaknya termasuk STP atas sanksi administrasi. Apakah diberikan pengurangan/penghapusan sanksi?,"Sepanjang pembetulan dan penyetoran pajak dilakukan untuk Tahun Pajak 2014 dan sebelumnya dan Masa Pajak Desember 2014 dan sebelumnya, maka Wajib Pajak dapat mengajukan permohonan penghapusan sanksi administrasi.
Ketentuan yang harus dipenuhi saat mengajukan permohonan adalah atas sanksi administrasi dalam STP belum dibayar sebagian atau seluruhnya. Pelunasan STP akibat pemotongan oleh fiskus pada saat menghitung SPMKP menurut PMK-91/PMK.03/2015 dianggap belum dibayar sehingga Wajib pajak masih berhak melakukan permohonan penghapusan sanksi administrasi."
Apakah ada ketentuan lain selain syarat dan dokumen yang harus dilampirkan?,"Ketentuan yang harus dipenuhi saat mengajukan permohonan adalah sebagai berikut:
1. Sanksi Administrasi dalam Surat Tagihan Pajak belum dibayar oleh Wajib Pajak; atau
2. Sanksi Administrasi dalam Surat Tagihan Pajak sudah dibayar sebagian oleh Wajib Pajak.
Dalam hal sanksi administrasi dalam Surat Tagihan Pajak telah diperhitungkan dengan kelebihan pembayaran pajak, yang dilakukan melalui potongan SPM dan/atau transfer pembayaran, sanksi administrasi dalam Surat Tagihan Pajak dianggap belum dibayar oleh Wajib Pajak."
"Kalau SPT dilaporkan dengan e-SPT, apakah semua SPT (induk dan lampirannya) harus dicetak atau cukup induknya saja? Bila memiliki kewajiban laporan keuangannya diaudit, apakah laporan keuangan yang telah diaudit oleh KAP tersebut harus dilampirkan?","Apabila Wajib Pajak melaporkan SPT dengan e-SPT, print out SPT (induk beserta lampirannya) harus dilampirkan sebagai persyaratan permohonan. Fotokopi dokumen yang dilampirkan dalam Lampiran SPT (laporan keuangan), tidak perlu dilampirkan dalam permohonan penghapusan."
Dokumen apa saja yang harus dilampirkan?,"Pada saat mengajukan permohonan harus dilampiri dengan dokumen sebagai berikut:
1. surat pernyataan yang menyatakan bahwa keterlambatan penyampaian SPT, keterlambatan pembayaran pajak, dan/atau pembetulan SPT dilakukan karena kekhilafan atau bukan karena kesalahan dan ditandatangani di atas meterai oleh Wajib Pajak dalam hal Wajib Pajak Orang Pribadi atau wakil Wajib Pajak dalam hal Wajib Pajak Badan;
2. fotokopi SPT atau SPT pembetulan atau printout-nya bila berbentuk dokumen elektronik;
3. fotokopi bukti tanda terima atau tanda pengiriman SPT sebagai bukti penyampaian SPT;
4. fotokopi SSP atau sarana lain sebagai bukti pelunasan; dan
5. fotokopi STP."
"Apakah permohonan dapat diterima oleh KPP apabila permohonan disampaikan oleh bukan Wajib Pajak, meskipun permohonan ditandatangani oleh Wajib Pajak?","Pada prinsipnya, sepanjang ditandatangani oleh Wajib Pajak (untuk Wajib Pajak Orang Pribadi) dan wakil Wajib Pajak (untuk Wajib Pajak Badan) permohonan dapat diterima."
Apakah syarat-syarat yang harus dipenuhi saat mengajukan permohonan pengurangan/penghapusan sanksi administrasi?,"Syarat-syarat yang harus dipenuhi adalah:
1. 1 (satu) permohonan untuk 1 (satu) Surat Tagihan Pajak;
2. secara tertulis dan menggunakan Bahasa Indonesia;
3. ditandatangani oleh Wajib Pajak (untuk Wajib Pajak Orang Pribadi), wakil Wajib Pajak (untuk Wajib Pajak Badan) dan tidak dapat dikuasakan. Untuk wakil Wajib Pajak, lihat pasal 32 ayat (1) Undang-Undang KUP;
4. disampaikan ke KPP dimana Wajib Pajak terdaftar."
Apakah sanksi administrasi yang timbul karena pemeriksaan dapat diberikan fasilitas pengurangan/penghapusan sanksi administrasi?,Tidak. Fasilitas ini hanya diberikan atas sanksi administrasi karena pelaksanaanself assessment systemoleh Wajib Pajak.
SPT apa saja yang menjadi ruang lingkup pengajuan permohonan penghapusan sanksi dalam PMK-91/PMK.03/2015?,"Surat Pemberitahuan (SPT) yang menjadi ruang lingkup adalah:
1. SPT Tahunan PPh Badan,
2. SPT Tahunan PPh Orang Pribadi,
3. SPT Masa PPh,
4. SPT Masa PPN, dan
5. SPT Masa PPN bagi Pemungut PPN."
Sanksi administrasi mana saja yang termasuk dalam ruang lingkup kebijakan di PMK-91/PMK.03/2015?,"Sanksi administrasi yang dapat dihapuskan sesuai kebijakan ini adalah:
1. Denda karena keterlambatan penyampaian SPT sebagaimana dimaksud dalam Pasal 7 Undang-Undang KUP;
2. Bunga karena pembetulan SPT Tahunan yang mengakibatkan utang pajak menjadi lebih besar sebagaimana dimaksud dalam Pasal 8 ayat (2) Undang-Undang KUP;
3. Bunga karena pembetulan SPT Masa yang mengakibatkan utang pajak menjadi lebih besar sebagaimana dimaksud dalam Pasal 8 ayat (2a) Undang-Undang KUP;
4. Bunga karena keterlambatan pembayaran atau penyetoran pajak yang terutang dalam SPT Masa sebagaimana dimaksud dalam Pasal 9 ayat (2a) Undang Undang KUP;
5. Bunga karena keterlambatan pembayaran atau penyetoran kekurangan pajak yang tercantum dalam SPT Tahunan sebagaimana dimaksud dalam Pasal 9 ayat (2b) Undang-Undang KUP; dan/atau
6. Denda karena tidak membuat atau terlambat membuat Faktur Pajak sebagaimana dimaksud dalam Pasal 14 ayat (4) Undang-Undang KUP."
Apakah ada batasan mengenai sanksi administrasi yang dapat dikurangkan atau dihapuskan dalam PMK-91/PMK.03/2015?,"Informasi tentang ""Apakah ada batasan mengenai sanksi administrasi yang dapat dikurangkan atau dihapuskan dalam PMK-91/PMK.03/2015?"" panjang untuk ditampilkan di sini. Silakan baca langsung di: https://pajak.go.id/id/12-apakah-ada-batasan-mengenai-sanksi-administrasi-yang-dapat-dikurangkan-atau-dihapuskan-dalam-pmk"
Apakah pemberian pengurangan atau penghapusan sanksi administrasi ini masih perlu surat permohonan dari Wajib Pajak?,"Ya. Hal tersebut dimaksudkan agar pelaksanaannya dapat berjalan secara tertib administrasi, baik dari sisi Wajib Pajak selaku pemohon maupun Direktur Jenderal Pajak selaku termohon."
Apakah yang harus dilakukan Wajib Pajak untuk mendapatkan fasilitas pengurangan atau penghapusan sanksi administrasi?,"Untuk memperoleh fasilitas pengurangan atau penghapusan sanksi administrasi, Wajib Pajak menyampaikan permohonan kepada Direktur Jenderal Pajak. Permohonan disampaikan ke KPP dimana Wajib Pajak terdaftar."
Wajib Pajak telah melakukan pembetulan SPT atau melaporkan SPT terlambat atau terlambat membayar serta sudah diterbitkan STP sebelum berlakunya PMK-91/PMK.03/2015. Dapatkah mengajukan permohonan pengurangan atau penghapusan sanksi?,"Sepanjang masa pajak dan tahun pajak memenuhi ketentuan PMK-91/PMK.03/2015 dan pembetulan, pembayaran, dan/atau pelaporan dilakukan oleh Wajib Pajak di tahun 2015, maka Wajib Pajak dapat mengajukan permohonan, walaupun permohonan diajukan setelah tahun 2015."
Mengapa tetap harus diterbitkan Surat Tagihan Pajak (STP)?,"Hal tersebut sesuai dengan prosedur dalam Undang-Undang KUP, dimana setiap sanksi administrasi yang dikenakan harus diterbitkan Surat Tagihan Pajak (STP)."
Kapan Wajib Pajak dapat mengajukan permohonan penghapusan sanksi administrasi?,"Wajib Pajak dapat mengajukan permohonan penghapusan sanksi pada tahun 2015 maupun sesudahnya, namun harus melakukan terlebih dahulu pembetulan SPT atau pelunasan kekurangan pajak di tahun 2015."
Adakah batasan atas sanksi yang dapat dimohonkan pengurangan atau penghapusan sanksi administrasi?,"Sanksi adminstrasi yang dapat dimohonkan adalah sanksi yang timbul akibat pelaporan, pembetulan, pembayaran SPT Tahunan 2014 dan sebelumnya dan/atau SPT Masa Desember 2014 dan sebelumnya yang dilakukan di tahun 2015."
Apakah ruang lingkup kekhilafan atau bukan karena kesalahan Wajib Pajak?,"Dalam Undang-Undang KUP dan Peraturan Menteri Keuangan Nomor 8/PMK.03/2013 tidak didefinisikan khilaf dan salah serta tidak ada batasannya. Namun dalam PMK-91/PMK.03/2015, kekhilafan atau bukan kesalahan Wajib Pajak dibatasi hanya kalau disebabkan adanya:
1. terlambat menyampaikan SPT Tahunan Pajak Penghasilan Tahun Pajak 2014 dan sebelumnya dan/atau SPT Masa untuk Masa Pajak Desember 2014 dan sebelumnya;
2. terlambat menyetor pajak terutang yang kurang dibayar berdasarkan SPT Tahunan Pajak Penghasilan 2014 dan sebelumnya;
3. terlambat menyetor pajak yang terutang untuk suatu saat atau masa pajak berdasarkan SPT Masa untuk Masa Pajak Desember 2014 dan sebelumnya;
4. pembetulan atas kemauan sendiri SPT Tahunan Pajak penghasilan Tahun pajak 2014 dan sebelumnya dan/atau SPT Masa untuk Masa Pajak desember 2014 dan sebelumnya yang mengakibatkan utang pajak menjadi lebih besar;
yang dilakukan pada tahun 2015."
Mengapa kebijakan ini menggunakan Peraturan Menteri Keuangan bukan ketentuan yang lebih tinggi atau yang lebih rendah?,Hal itu sesuai dengan amanat dalam Pasal 36 ayat (2) Undang-Undang KUP dimana ketentuan pelaksanaan untuk pengurangan atau penghapusan sanksi administrasi adalah Peraturan Menteri Keuangan.
Apakah yang membedakannya dengan Sunset Policy tahun 2008?,"Informasi tentang ""Apakah yang membedakannya dengan Sunset Policy tahun 2008?"" panjang untuk ditampilkan di sini. Silakan baca langsung di: https://pajak.go.id/id/3-apakah-yang-membedakannya-dengan-sunset-policy-tahun-2008"
Apakah kebijakan ini dapat dikatakan sebagai kebijakan Sunset Policy jilid II?,"Direktorat Jenderal Pajak tidak pernah menyebutnya seperti itu. Kebijakan ini lebih tepatnya adalah pelaksanaan kebijakan tahun pembinaan di tahun 2015.
Namun demikian, terdapat hal yang sama dengan ketentuan Sunset Policy tahun 2008, yaitu penghapusan sanksi administrasi bagi Wajib Pajak yang terlambat menyampaikan SPT Tahunan PPh dan/atau melakukan pembetulan SPT Tahunan PPh."
Apakah tujuan diterapkannya PMK-91/PMK.03/2015?,"Tujuan diterapkannya PMK-91/PMK.03/2015 adalah sebagai berikut:
1. melakukan pembinaan terhadap Wajib pajak, pesan yang ingin disampaikan adalah agar Wajib Pajak tahu kalau DJP tahu;
2. mendorong Wajib Pajak melaporkan SPT;
3. mendorong Wajib Pajak melapor dan menyetor sesuai yang seharusnya;
4. melakukan pembetulan SPT;
5. sebagai upaya meningkatkan penerimaan dan membangun basis data yang kuat."
"Sebagai Bendahara Pengeluaran Satker, bagaimana cara membuat billing untuk membayarkan pajak yang telah dipungut dari pihak ketiga?","Silahkan login padahttp://sse.pajak.go.iddengan menggunakan user (Bendahara) yang telah dibuat. Secara otomatis form perekaman akan menampilkan NPWP Bendahara yang bersangkutan, kemudian kosongkan isian NPWP-nya dan ganti dengan NPWP pihak ketiga, kemudian lanjutkan pengisiannya sesuai billing yang akan dibuat.
Link PDF: http://sse.pajak.go.id"
Bagaimana cara masyarakat/pembeli mengecek e-Faktur merupakan Faktur Pajak yang valid?,"Masyarakat dapat mengecek kebenaran e-Faktur melalui cara-cara berikut ini:
- Cetakan e-Faktur dilengkapi dengan QR code sebagai pengaman e-Faktur.
- QR code isinya menampilkan informasi terkait dengan transaksi penyerahan yaitu: nilai DPP dan PPN dan lain-lain.
- Informasi dalam QR code dapat dilihat dengan menggunakan aplikasi pembaca QR code (QR code scanner) yang dapat dilakukan melalui smartphone atau gadget lainnya yang mempunyai fitur yang mendukung.
- Apabila Informasi yang terdapat dalam QR code tersebut berbeda dengan yang ada dalam cetakan e-Faktur maka Faktur Pajak tersebut tidak valid."
Bagaimana cara lawan transaksi/pembeli meyakini kebenaran e-Faktur yang diterimanya?,"Untuk lawan transaksi yang merupakan pengguna e-Faktur, kebenaran e-Faktur dapat diketahui ketika proses upload faktur setelah terlebih dahulu melakukan input atas e-Faktur melalui menu Faktur Pajak Masukan.
Untuk lawan transaksi yang bukan merupakan pengguna e-Faktur kebenaran e-Faktur dapat dilakukan dengan cara sebagaimana berikut:
- Cetakan e-Faktur dilengkapi dengan QR code sebagai pengaman eFaktur. QR code isinya menampilkan informasi terkait dengan transaksi penyerahan.
- Informasi dalam QR code dapat dilihat dengan menggunakan aplikasi pembaca QR code (QR code scanner) yang dapat dilakukan melalui smartphone atau gadget lainnya yang mempunyai fitur yang mendukung.
- Apabila Informasi yang terdapat dalam QR code tersebut berbeda dengan yang ada dalam cetakan e-Faktur maka Faktur Pajak tersebut tidak valid."
"Dalam hal PKP pindah KPP, bagaiman dengan sertifikat elektronik?","Sertifikat elektronik berfungsi sebagai indentias Pengusaha Kena Pajak (PKP) pengguna e-Faktur yang penggunaannya berdasarkan Nomor Pokok Wajib Pajak (NPWP). Setiap PKP hanya memiliki 1 sertifikat elektronik kecuali apabila PKP tersebut mempunyai cabang.
Apabila PKP pindah Kantor Pelayanan Pajak (KPP) berarti NPWP PKP tersebut akan berubah (bagian kode KPP) sehingga PKP harus meminta kembali sertifikat elektronik ke KPP yang baru. Sertifikat elktronik dari KPP lama otomatis tidak dapat digunakan."
